iter	Passed	Remaining
0	55	5521
1	111	5482
2	169	5477
3	224	5398
4	274	5218
5	328	5148
6	380	5058
7	432	4975
8	483	4887
9	531	4779
10	583	4724
11	638	4683
12	689	4616
13	740	4551
14	793	4494
15	844	4434
16	897	4379
17	950	4328
18	1005	4285
19	1061	4245
20	1114	4193
21	1170	4149
22	1223	4096
23	1276	4041
24	1327	3983
25	1383	3937
26	1437	3886
27	1488	3826
28	1540	3772
29	1595	3722
30	1653	3681
31	1710	3634
32	1769	3592
33	1824	3541
34	1878	3489
35	1934	3438
36	1981	3374
37	2033	3318
38	2086	3264
39	2138	3207
40	2192	3155
41	2249	3107
42	2303	3053
43	2357	2999
44	2412	2948
45	2465	2894
46	2516	2837
47	2570	2784
48	2623	2730
49	2671	2671
50	2727	2620
51	2777	2563
52	2827	2507
53	2877	2451
54	2930	2397
55	3022	2374
56	3073	2318
57	3127	2264
58	3182	2211
59	3232	2155
60	3288	2102
61	3339	2046
62	3388	1990
63	3438	1934
64	3488	1878
65	3540	1823
66	3591	1769
67	3637	1711
68	3691	1658
69	3743	1604
70	3794	1549
71	3850	1497
72	3901	1443
73	3952	1388
74	4005	1335
75	4054	1280
76	4108	1227
77	4162	1174
78	4213	1120
79	4263	1065
80	4318	1013
81	4371	959
82	4427	906
83	4481	853
84	4535	800
85	4584	746
86	4635	692
87	4685	638
88	4737	585
89	4787	531
90	4840	478
91	4889	425
92	4938	371
93	4989	318
94	5039	265
95	5089	212
96	5143	159
97	5195	106
98	5247	53
99	5299	0
